country_name,country_code,indicator_name,indicator_code,debt
Afghanistan,AFG,"External debt stocks, other public sector (PPG) (DOD, current US$)",DT.DOD.DOPS.CD,1588000
Afghanistan,AFG,"External debt stocks, private guaranteed by public sector (PPG) (DOD, current US$)",DT.DOD.PRPG.CD,0
Afghanistan,AFG,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",DT.DOD.DPNG.CD,128332000
Afghanistan,AFG,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,30818164790
Afghanistan,AFG,"External debt stocks, public sector (PPG) (DOD, current US$)",DT.DOD.DEPS.CD,30818164790
Afghanistan,AFG,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,3479450189
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,40102211961
Afghanistan,AFG,"External debt stocks, variable rate (DOD, current US$)",DT.DOD.VTOT.CD,128332000
Afghanistan,AFG,"Foreign direct investment, net inflows in reporting economy (DRS, current US$)",BX.KLT.DINV.CD.DT,1410571712
Afghanistan,AFG,"GG, bilateral (AMT, current US$)",DT.AMT.BLAT.GG.CD,404777167
Afghanistan,AFG,"GG, bilateral (DIS, current US$)",DT.DIS.BLAT.GG.CD,117032373
Afghanistan,AFG,"GG, bilateral (DOD, current US$)",DT.DOD.BLAT.GG.CD,15112113254
Afghanistan,AFG,"GG, bilateral (INT, current US$)",DT.INT.BLAT.GG.CD,109697959
Afghanistan,AFG,"GG, bilateral (NFL, current US$)",DT.NFL.BLAT.GG.CD,97006439
Afghanistan,AFG,"GG, bilateral (NTR, current US$)",DT.NTR.BLAT.GG.CD,96556000
Afghanistan,AFG,"GG, bilateral (TDS, current US$)",DT.TDS.BLAT.GG.CD,514475126
Afghanistan,AFG,"GG, bilateral concessional (AMT, current US$)",DT.AMT.BLTC.GG.CD,13766933
Afghanistan,AFG,"GG, bilateral concessional (DIS, current US$)",DT.DIS.BLTC.GG.CD,117032373
Afghanistan,AFG,"GG, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.GG.CD,1183750424
Afghanistan,AFG,"GG, bilateral concessional (INT, current US$)",DT.INT.BLTC.GG.CD,448452
Afghanistan,AFG,"GG, bilateral concessional (NFL, current US$)",DT.NFL.BLTC.GG.CD,103265000
Afghanistan,AFG,"GG, bilateral concessional (NTR, current US$)",DT.NTR.BLTC.GG.CD,102815000
Afghanistan,AFG,"GG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.GG.CD,14215385
Afghanistan,AFG,"GG, bonds (AMT, current US$)",DT.AMT.PBND.GG.CD,0
Afghanistan,AFG,"GG, bonds (DIS, current US$)",DT.DIS.PBND.GG.CD,0
Afghanistan,AFG,"GG, bonds (DOD, current US$)",DT.DOD.PBND.GG.CD,0
Afghanistan,AFG,"GG, bonds (INT, current US$)",DT.INT.PBND.GG.CD,0
Afghanistan,AFG,"GG, bonds (NFL, current US$)",DT.NFL.PBND.GG.CD,0
